INTERFACE_FIELD
TABLE_NAME,INTERFACE,ORDER_NUMBER,TYPE,MESSAGE,FIELD_NAME,REPORT_NAME,USER_ROUTINE,ADD_ROUTINE,PRINT,LIST_WIDTH,MANDATORY,COPY
30,30,10,10,50,40,20,50,50,1,10,1,1
32
"NPH_INSPECTION_REQUEST","DEFAULT","1","FORMAT","Request ID","REQUEST_ID",,,,"TRUE","20","TRUE","FALSE"
"NPH_INSPECTION_REQUEST","DEFAULT","2","FORMAT","Inspection Request Number","ID_TEXT",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","3","FORMAT","Status","STATUS",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","4","FORMAT","Login Plan","LOGIN_PLAN_ID",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","5","FORMAT","Login Plan Version","LOGIN_PLAN_VERSION",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","6","FORMAT","Use Last Active Version","USE_LAST_ACTIVE_VERSION",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","7","FORMAT","Root Context Table","ROOT_CONTEXT_TABLE",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","8","FORMAT","Root Context ID","ROOT_CONTEXT_ID",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","9","FORMAT","Requested By","REQUESTED_BY",,,,"FALSE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","10","FORMAT","Requested On","REQUESTED_ON",,,,"FALSE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","11","FORMAT","Execution Status","EXECUTION_STATUS",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","12","FORMAT","Generated Job","GENERATED_JOB_ID",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","13","FORMAT","Generated Objects","GENERATED_OBJECT_SUMMARY",,,,"FALSE","40","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","14","FORMAT","Execution Error","EXECUTION_ERROR",,,,"FALSE","40","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","15","FORMAT","E-signature Required","ESIG_REQUIRED",,,,"FALSE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","DEFAULT","16","FORMAT","Modifiable","MODIFIABLE",,,,"FALSE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","1","FORMAT","Request ID","REQUEST_ID",,,,"TRUE","20","TRUE","FALSE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","2","FORMAT","Inspection Request Number","ID_TEXT",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","3","FORMAT","Status","STATUS",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","4","FORMAT","Login Plan","LOGIN_PLAN_ID",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","5","FORMAT","Login Plan Version","LOGIN_PLAN_VERSION",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","6","FORMAT","Use Last Active Version","USE_LAST_ACTIVE_VERSION",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","7","FORMAT","Root Context Table","ROOT_CONTEXT_TABLE",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","8","FORMAT","Root Context ID","ROOT_CONTEXT_ID",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","9","FORMAT","Requested By","REQUESTED_BY",,,,"FALSE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","10","FORMAT","Requested On","REQUESTED_ON",,,,"FALSE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","11","FORMAT","Execution Status","EXECUTION_STATUS",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","12","FORMAT","Generated Job","GENERATED_JOB_ID",,,,"TRUE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","13","FORMAT","Generated Objects","GENERATED_OBJECT_SUMMARY",,,,"FALSE","40","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","14","FORMAT","Execution Error","EXECUTION_ERROR",,,,"FALSE","40","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","15","FORMAT","E-signature Required","ESIG_REQUIRED",,,,"FALSE","20","FALSE","TRUE"
"NPH_INSPECTION_REQUEST","NPH_INSPECTION_REQUEST","16","FORMAT","Modifiable","MODIFIABLE",,,,"FALSE","20","FALSE","TRUE"
