MASTER_MENU
PROCEDURE_NUM,DESCRIPTION,SHORT_TEXT,MNEMONIC,LIBRARY,ROUTINE,TABLE_NAME,DATA_TYPE,ACTION_TYPE,TYPE,COMMITTED,AUX_REPORT,MODIFIABLE,REMOVEFLAG,ICON,ESIG_LEVEL,ESIG_REASON,PARAMETERS,PARAMETERS_ACTIONS,LIMSML_ENTITY,LIMSML_ACTION,CATEGORY,IMPLEMENTATION_TYPE,TASK_NAME,TASK_PARAMETERS,WINDOW_STYLE,HAS_ATTACHMENTS,MENU_GROUP_NAME,WEB_FUNCTION_NAME,WEB_ENABLED,WEB_AVAILABLE,WEB_ONLY,INTENTIONAL_DUPLICATE,BARCODE_LAYOUT,DEPRECATED
10,234,30,10,20,50,40,10,10,10,1,10,1,1,30,10,80,234,10,20,20,234,10,234,234,20,1,234,234,1,1,1,1,40,1
21
"199401","View Inspection Requests","Open Inspection Requests...",,"$QUERY","EXECUTEDEFAULTCRITERIAOPTION",,,,"MENU","TRUE",,"FALSE","FALSE",,,,"NPH_INSPECTION_REQUEST","BEFORE",,,"NewPharma","DESIGNER","BrowseTask","NPH_INSPECTION_REQUEST",,"FALSE",,,"TRUE","TRUE","FALSE","FALSE",,"FALSE"
"199402","Login Inspection Request","Login","ANIR",,,"NPH_INSPECTION_REQUEST","ACTIVE","ADD","MENU","FALSE",,"TRUE","FALSE","TEXT_TREE_PLAY",,,,"BEFORE",,,"NewPharma","DESIGNER","NewPharmaInspectionRequestTask","NPH_INSPECTION_REQUEST","DEFAULT","FALSE",,,"TRUE","TRUE","FALSE","FALSE",,"FALSE"
"199403","Modify Inspection Request","Modify","MNIR","$LABTABLE_DB","LABTABLE_OPTION","NPH_INSPECTION_REQUEST","STATIC","MODIFY","MENU","FALSE",,"TRUE","FALSE","INT_MODIFY",,,,"BEFORE",,,"NewPharma","DESIGNER","NewPharmaInspectionRequestTask","NPH_INSPECTION_REQUEST","DEFAULT","FALSE",,,"TRUE","TRUE","FALSE","FALSE",,"FALSE"
"199404","Display Inspection Request","Display","DNIR","$LABTABLE_DB","LABTABLE_OPTION","NPH_INSPECTION_REQUEST","STATIC","DISPLAY","MENU","TRUE",,"TRUE","FALSE","INT_DISPLAY",,,,"BEFORE",,,"NewPharma","DESIGNER","NewPharmaInspectionRequestTask","NPH_INSPECTION_REQUEST","DEFAULT","FALSE",,,"TRUE","TRUE","FALSE","FALSE",,"FALSE"
"199405","Remove Inspection Request","Remove","RNIR","$LABTABLE_DB","LABTABLE_OPTION","NPH_INSPECTION_REQUEST","STATIC","REMOVE","MENU","FALSE",,"TRUE","FALSE","INT_REMOVE",,,,"BEFORE",,,"NewPharma","DESIGNER","NewPharmaInspectionRequestTask","NPH_INSPECTION_REQUEST","DEFAULT","FALSE",,,"TRUE","TRUE","FALSE","FALSE",,"FALSE"
"199406","Restore Inspection Request","Restore","UNIR","$LABTABLE_DB","LABTABLE_OPTION","NPH_INSPECTION_REQUEST","STATIC","RESTORE","MENU","FALSE",,"TRUE","FALSE","INT_RESTORE",,,,"BEFORE",,,"NewPharma","DESIGNER","NewPharmaInspectionRequestTask","NPH_INSPECTION_REQUEST","DEFAULT","FALSE",,,"TRUE","TRUE","FALSE","FALSE",,"FALSE"
"199407","Set IR ProjectId","Set ProjectId","SPJI",,,"NPH_INSPECTION_REQUEST",,,"MENU","FALSE",,"TRUE","FALSE","INT_MODIFY",,,,"BEFORE",,,"NewPharma","DESIGNER","NewPharmaSetIrProjectIdTask","NPH_INSPECTION_REQUEST",,"FALSE",,,"TRUE","TRUE","FALSE","FALSE",,"FALSE"
"199408","Set IR ProductLink","Set ProductLink","SPLI",,,"NPH_INSPECTION_REQUEST",,,"MENU","FALSE",,"TRUE","FALSE","INT_MODIFY",,,,"BEFORE",,,"NewPharma","DESIGNER","NewPharmaSetIrProductLinkTask","NPH_INSPECTION_REQUEST",,"FALSE",,,"TRUE","TRUE","FALSE","FALSE",,"FALSE"
